Label,MNI_X,MNI_Y,MNI_Z
268,8.25,-38.14,-20.87
269,-7.88,-30.86,-9.4
270,8.66,-30.94,-9.69
272,-4.1,-36.52,-23.25
273,5.2,-37.03,-23.57
280,-7.55,-23.53,-4.05
281,8.89,-22.99,-3.82
282,0.57,-32.57,-8.94
285,0.73,-31.42,-20.55
286,-1.79,-35.22,-31.05
287,3.39,-35.36,-31.38
288,-6.88,-28.71,-13.4
295,-4.66,-18.83,-8.03
296,5.85,-18.78,-7.83
297,0.71,-41.27,-52.78
298,0.91,-36.91,-52.23
299,-4.22,-31.79,-4.17
300,5.48,-31.25,-3.78
305,-3.82,-40.42,-47.04
306,5.48,-40.11,-47.28
311,-8.75,-15.57,-11.39
312,10.15,-15.58,-11.09
315,-5.53,-37.47,-35.89
316,7.24,-37.33,-35.13
317,-5.71,-41.37,-37.81
318,6.77,-41.17,-38.11
319,-1.91,-43.89,-52.63
320,3.08,-43.45,-52.79
321,-4.86,-16.06,-9.62
322,6.73,-16.32,-9.6
323,-9.27,-54.29,-34.19
324,-16.81,-55.08,-25.13
325,-12.46,-54.47,-23.08
326,-15.99,-44.35,-40.77
327,-12.06,-72.89,-46.08
328,-20.83,-53.47,-34.98
329,-20.5,-53.38,-52.37
330,-22.67,-69.41,-34.01
331,-35.37,-57.89,-42.06
332,-27.23,-60.97,-35.91
333,-34.59,-63.35,-41.09
334,-17.04,-77.14,-32.02
335,-20.82,-70.78,-38.88
336,-30.13,-77.93,-37.35
337,-36.78,-61.52,-46.14
338,-15.97,-46.03,-51.64
339,5.67,-67.53,-31.97
340,18.53,-55.43,-23.83
341,15.67,-53.67,-29.97
342,18.33,-44.93,-42.93
343,17.8,-67.82,-42.05
344,18.86,-51.39,-34.24
345,23.0,-57.43,-56.73
346,25.49,-64.26,-32.88
347,33.65,-58.2,-41.91
348,28.46,-59.34,-35.99
349,35.0,-65.73,-39.02
350,18.41,-74.74,-33.36
351,17.03,-73.43,-36.57
352,30.78,-76.93,-35.95
353,34.18,-59.45,-44.49
354,22.72,-44.63,-50.78
